icd10_ecode,icd10_mechanism,mechanism_count,icd10_intent,icd10_description,icd9_ecode,icd9_ecode_numeric,icd9_intent,icd9_mechanism,icd9_display
Y92.000,LOCATION,1,,Kitchen of unspecified non-institutional (private) residence as the place of occurrence of the external cause,E849.0,849,,LOCATION,E849.0 Place of occurrence: Home
Y35.041S,OTHER_NEC,1,OTHER,"Legal intervention involving injury by rubber bullet, law enforcement official injured, sequela",E977,977,OTHER,OTHER_NEC,"E977 Legal Intervention, Late effects (OTHER_NEC, OTHER)"
Y35.043A,FIREARM,1,OTHER,"Legal intervention involving injury by rubber bullet, suspect injured, initial encounter",E970,970,OTHER,FIREARM,"E970 Legal Intervention, Firearms (FIREARM, OTHER)"
T63.512A,POISONING,1,SELF_INFLICTED,"Toxic effect of contact with stingray, intentional self-harm, initial encounter",E950.9,950.9,SELF_INFLICTED,POISONING,"E950.9 Self-Inflicted, Other and unspecified substances (POISONING, SELF_INFLICTED)"
V91.88XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Other injury due to other accident to other unpowered watercraft, subsequent encounter",E831.9,831.9,UNINTENTIONAL,TRANSPORT_OTHER,"E831.9 Water, Other injury, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W17.4XXA,FALL,1,UNINTENTIONAL,"Fall from dock, initial encounter",E883.9,883.9,UNINTENTIONAL,FALL,"E883.9 Fall, Other hole (FALL, UNINTENTIONAL)"
T41.3X1S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Poisoning by local anesthetics, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T41.3X3A,POISONING,1,ASSAULT,"Poisoning by local anesthetics, assault, initial encounter",E962.0,962,ASSAULT,POISONING,"E962.0 Assault, Drugs and medicinal substances (POISONING, ASSAULT)"
X77.1XXA,FIRE_OBJECT_SUBSTANCE,1,SELF_INFLICTED,"Intentional self-harm by hot tap water, initial encounter",E958.2,958.2,SELF_INFLICTED,FIRE_OBJECT_SUBSTANCE,"E958.2 Self-Inflicted, Scald (FIRE_OBJECT_SUBSTANCE, SELF_INFLICTED)"
Y73.0,,0,,Diagnostic and monitoring gastroenterology and urology devices associated with adverse incidents,,-9,,,
T49.2X5S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of local astringents and local detergents, sequela",E946.2,946.2,OTHER,ADVERSE_EFFECTS_DRUGS,"E946.2 Adverse effects in therapeutic use, Local astringents and local detergents (ADVERSE_EFFECTS_DRUGS, OTHER)"
T50.2X5S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics, sequela",E944.2,944.2,OTHER,ADVERSE_EFFECTS_DRUGS,"E944.2 Adverse effects in therapeutic use, Carbonic acid anhydrase inhibitors (ADVERSE_EFFECTS_DRUGS, OTHER)"
V63.6XXD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Passenger in heavy transport vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
T50.904S,OTHER_NEC,1,UNDETERMINED,"Poisoning by unspecified drugs, medicaments and biological substances, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
W16.511D,FALL,1,UNINTENTIONAL,"Jumping or diving into swimming pool striking water surface causing drowning and submersion, subsequent encounter",E883.0,883,UNINTENTIONAL,FALL,"E883.0 Fall, Diving (FALL, UNINTENTIONAL)"
Y75.1,,0,,Therapeutic (nonsurgical) and rehabilitative neurological devices associated with adverse incidents,,-9,,,
V37.2XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person on outside of three-wheeled motor vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V93.14XA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Other burn on board sailboat, initial encounter",E837.0,837,UNINTENTIONAL,TRANSPORT_OTHER,"E837.0 Water, Explosion fire burning, Occupant unpowered craft (TRANSPORT_OTHER, UNINTENTIONAL)"
V93.14XA,,,,,E837.9,837.9,UNINTENTIONAL,TRANSPORT_OTHER,"E837.9 Water, Explosion fire burning, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W21.00XD,STRUCK_BY_AGAINST,1,UNINTENTIONAL,"Struck by hit or thrown ball, unspecified type, subsequent encounter",E917.0,917,UNINTENTIONAL,STRUCK_BY_AGAINST,"E917.0 Other, Struck in sports, without subsequent fall (STRUCK_BY_AGAINST, UNINTENTIONAL)"
V48.3XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified car occupant injured in noncollision transport accident in nontraffic accident, subsequent encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
Y36.141A,OTHER_SPECIFIED,1,OTHER,"War operations involving destruction of aircraft due to accidental detonation of onboard munitions and explosives, civilian, initial encounter",E994.1,994.1,OTHER,OTHER_SPECIFIED,"E994.1 War, unintentional destruction of aircraft due to own onboard explosives (OTHER_SPECIFIED, OTHER)"
V72.1XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger on bus injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y38.9X2D,OTHER_SPECIFIED,1,ASSAULT,"Terrorism, secondary effects, civilian injured, subsequent encounter",E979.9,979.9,ASSAULT,OTHER_SPECIFIED,"E979.9 Terrorism, secondary effects (OTHER_SPECIFIED, ASSAULT)"
X08.8XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Exposure to other specified smoke, fire and flames, sequela",E929.4,929.4,UNINTENTIONAL,OTHER_SPECIFIED,"E929.4 Late Effect, Fire (OTHER_SPECIFIED, UNINTENTIONAL)"
V25.9XXD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified motorcycle rider injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",E810.9,810.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E810.9 Traffic, Collision with train, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
W59.82XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Struck by other nonvenomous reptiles, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
V87.8XXA,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic), initial encounter",E817.9,817.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E817.9 Traffic, Boarding/alighting without collision, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
V87.8XXA,,,,,E818.9,818.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E818.9 Traffic, Other noncollision, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
Y23.2XXS,OTHER_NEC,1,UNINTENTIONAL,"Military firearm discharge, undetermined intent, sequela",E929.8,929.8,UNINTENTIONAL,OTHER_NEC,"E929.8 Late Effect, Other accidents (OTHER_NEC, UNINTENTIONAL)"
V06.09XA,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",E829.0,829,UNINTENTIONAL,PEDESTRIAN_OTHER,"E829.0 Other MV, Other road vehicle accidents, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
V06.10XA,PEDESTRIAN_OTHER,1,UNINTENTIONAL,"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, initial encounter",E829.0,829,UNINTENTIONAL,PEDESTRIAN_OTHER,"E829.0 Other MV, Other road vehicle accidents, Pedestrian (PEDESTRIAN_OTHER, UNINTENTIONAL)"
T46.4X3S,OTHER_NEC,1,ASSAULT,"Poisoning by angiotensin-converting-enzyme inhibitors, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T46.4X5A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of angiotensin-converting-enzyme inhibitors, initial encounter",E942.6,942.6,OTHER,ADVERSE_EFFECTS_DRUGS,"E942.6 Adverse effects in therapeutic use, Other antihypertensive agents (ADVERSE_EFFECTS_DRUGS, OTHER)"
T63.002S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Toxic effect of unspecified snake venom, intentional self-harm, sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T63.004A,POISONING,1,UNDETERMINED,"Toxic effect of unspecified snake venom, undetermined, initial encounter",E980.9,980.9,UNDETERMINED,POISONING,"E980.9 Unknown, Other/unspecified poisons (POISONING, UNDETERMINED)"
T49.7X3S,OTHER_NEC,1,ASSAULT,"Poisoning by dental drugs, topically applied, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T49.7X5A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of dental drugs, topically applied, initial encounter",E946.7,946.7,OTHER,ADVERSE_EFFECTS_DRUGS,"E946.7 Adverse effects in therapeutic use, Dental drugs topically applied (ADVERSE_EFFECTS_DRUGS, OTHER)"
T50.7X3S,OTHER_NEC,1,ASSAULT,"Poisoning by analeptics and opioid receptor antagonists, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T50.7X5A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of analeptics and opioid receptor antagonists, initial encounter",E940.0,940,OTHER,ADVERSE_EFFECTS_DRUGS,"E940.0 Adverse effects in therapeutic use, Analeptics (ADVERSE_EFFECTS_DRUGS, OTHER)"
T50.7X5A,,,,,E940.1,940.1,OTHER,ADVERSE_EFFECTS_DRUGS,"E940.1 Adverse effects in therapeutic use, Opiate antagonists (ADVERSE_EFFECTS_DRUGS, OTHER)"
T45.623S,OTHER_NEC,1,ASSAULT,"Poisoning by hemostatic drug, assault, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
T45.625A,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of hemostatic drug, initial encounter",E934.8,934.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E934.8 Adverse effects in therapeutic use, Other agents affecting blood constituents (ADVERSE_EFFECTS_DRUGS, OTHER)"
V45.9XXA,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident, initial encounter",E810.9,810.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E810.9 Traffic, Collision with train, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
Y93.J4,ACTIVITY,1,,"Activity, winds and brass instrument playing",E018.3,18.3,,ACTIVITY,"E018.3 Activity, involving winds and brass instrument playing"
V64.5XXD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Driver of heavy transport vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",E812.0,812,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.0 Traffic, Collision with motor vehicle, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
W94.31XA,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Exposure to sudden change in air pressure in aircraft during descent, initial encounter",E902.1,902.1,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E902.1 Environmental, Pressure changes aircraft (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
T48.3X4S,OTHER_NEC,1,UNDETERMINED,"Poisoning by antitussives, undetermined, sequela",E989,989,UNDETERMINED,OTHER_NEC,"E989 Unknown, Late effects (OTHER_NEC, UNDETERMINED)"
V79.00XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Driver of bus injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",E822.0,822,UNINTENTIONAL,TRANSPORT_OTHER,"E822.0 Nontraffic, Collision with moving object, Driver excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
W61.49XA,NATURAL_ENVIRONMENTAL,1,UNINTENTIONAL,"Other contact with turkey, initial encounter",E906.8,906.8,UNINTENTIONAL,NATURAL_ENVIRONMENTAL,"E906.8 Environmental, Other specified animal injury (NATURAL_ENVIRONMENTAL, UNINTENTIONAL)"
Y92.093,LOCATION,1,,Driveway of other non-institutional residence as the place of occurrence of the external cause,E849.0,849,,LOCATION,E849.0 Place of occurrence: Home
T54.92XA,POISONING,1,SELF_INFLICTED,"Toxic effect of unspecified corrosive substance, intentional self-harm, initial encounter",E950.7,950.7,SELF_INFLICTED,POISONING,"E950.7 Self-Inflicted, Corrosives/caustics (POISONING, SELF_INFLICTED)"
T37.5X1S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Poisoning by antiviral drugs, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T37.5X3A,POISONING,1,ASSAULT,"Poisoning by antiviral drugs, assault, initial encounter",E962.0,962,ASSAULT,POISONING,"E962.0 Assault, Drugs and medicinal substances (POISONING, ASSAULT)"
T63.421A,BITES_STINGS,1,UNINTENTIONAL,"Toxic effect of venom of ants, accidental (unintentional), initial encounter",E905.5,905.5,UNINTENTIONAL,BITES_STINGS,"E905.5 Environmental, Other arthropods (BITES_STINGS, UNINTENTIONAL)"
W31.89XD,MACHINERY,1,UNINTENTIONAL,"Contact with other specified machinery, subsequent encounter",E919.8,919.8,UNINTENTIONAL,MACHINERY,"E919.8 Other, Other specified machines (MACHINERY, UNINTENTIONAL)"
V57.7XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person on outside of pick-up truck or van injured in collision with fixed or stationary object in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
Y38.3X3S,OTHER_NEC,1,OTHER,"Terrorism involving fires, conflagration and hot substances, terrorist injured, sequela",E999.1,999.1,OTHER,OTHER_NEC,"E999.1 Terrorism, Late effects (OTHER_NEC, OTHER)"
T39.091S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Poisoning by salicylates, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T39.093A,POISONING,1,ASSAULT,"Poisoning by salicylates, assault, initial encounter",E962.0,962,ASSAULT,POISONING,"E962.0 Assault, Drugs and medicinal substances (POISONING, ASSAULT)"
V59.88XD,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Occupant (driver) (passenger) of pick-up truck or van injured in other specified transport accidents, subsequent encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
T41.45XA,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of unspecified anesthetic, initial encounter",E938.9,938.9,OTHER,ADVERSE_EFFECTS_DRUGS,"E938.9 Adverse effects in therapeutic use, Other and unspecified local anesthetics (ADVERSE_EFFECTS_DRUGS, OTHER)"
V40.7XXD,MOTOR_VEHICLE_TRAFFIC,1,UNINTENTIONAL,"Person on outside of car injured in collision with pedestrian or animal in traffic accident, subsequent encounter",E814.8,814.8,UNINTENTIONAL,MOTOR_VEHICLE_TRAFFIC,"E814.8 Traffic, Collision with pedestrian, Other Specified person (MOTOR_VEHICLE_TRAFFIC, UNINTENTIONAL)"
V96.03XD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Balloon collision injuring occupant, subsequent encounter",E842.6,842.6,UNINTENTIONAL,TRANSPORT_OTHER,"E842.6 Air, Unpowered aircraft, Unpowered aircraft occupant (TRANSPORT_OTHER, UNINTENTIONAL)"
V67.3XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of heavy transport vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V23.0XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Motorcycle driver injured in collision with car, pick-up truck or van in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V54.0XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V13.4XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Pedal cycle driver injured in collision with car, pick-up truck or van in traffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
T65.811S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Toxic effect of latex, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T65.813A,POISONING,1,ASSAULT,"Toxic effect of latex, assault, initial encounter",E962.1,962.1,ASSAULT,POISONING,"E962.1 Assault, Other solid or liquid substances (POISONING, ASSAULT)"
V43.44XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Person boarding or alighting a car injured in collision with van, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
T48.1X1A,POISONING,1,UNINTENTIONAL,"Poisoning by skeletal muscle relaxants [neuromuscular blocking agents], accidental (unintentional), initial encounter",E858.6,858.6,UNINTENTIONAL,POISONING,"E858.6 Accidental poisoning, Smooth muscle, skeletal muscle, respiratory system agents (POISONING, UNINTENTIONAL)"
V45.5XXA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Car driver injured in collision with railway train or railway vehicle in traffic accident, initial encounter",E810.0,810,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E810.0 Traffic, Collision with train, Driver not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
V91.86XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Other injury due to other accident to (nonpowered) inflatable craft, sequela",E929.1,929.1,UNINTENTIONAL,OTHER_SPECIFIED,"E929.1 Late Effect, Other transport accident (OTHER_SPECIFIED, UNINTENTIONAL)"
Y93.B1,ACTIVITY,1,,"Activity, exercise machines primarily for muscle strengthening",E010.0,10,,ACTIVITY,"E010.0 Activity, involving exercise machines primarily for muscle strengthening"
V43.62XA,MOTOR_VEHICLE_OCCUPANT,1,UNINTENTIONAL,"Car passenger injured in collision with other type car in traffic accident, initial encounter",E812.1,812.1,UNINTENTIONAL,MOTOR_VEHICLE_OCCUPANT,"E812.1 Traffic, Collision with motor vehicle, Passenger not motorcyclist (MOTOR_VEHICLE_OCCUPANT, UNINTENTIONAL)"
W88.0XXD,OTHER_SPECIFIED,1,UNINTENTIONAL,"Exposure to X-rays, subsequent encounter",E926.3,926.3,UNINTENTIONAL,OTHER_SPECIFIED,"E926.3 Other, X-rays and other EM radiation (OTHER_SPECIFIED, UNINTENTIONAL)"
V69.3XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Occupant (driver) (passenger) of heavy transport vehicle injured in unspecified nontraffic accident, initial encounter",E825.0,825,UNINTENTIONAL,TRANSPORT_OTHER,"E825.0 Nontraffic, Other/Unspecified, Driver excluding motorcycle (TRANSPORT_OTHER, UNINTENTIONAL)"
V70.3XXA,TRANSPORT_OTHER,1,UNINTENTIONAL,"Unspecified occupant of bus injured in collision with pedestrian or animal in nontraffic accident, initial encounter",E822.9,822.9,UNINTENTIONAL,TRANSPORT_OTHER,"E822.9 Nontraffic, Collision with moving object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V60.7XXA,MOTOR_VEHICLE_TRAFFIC,1,UNINTENTIONAL,"Person on outside of heavy transport vehicle injured in collision with pedestrian or animal in traffic accident, initial encounter",E814.8,814.8,UNINTENTIONAL,MOTOR_VEHICLE_TRAFFIC,"E814.8 Traffic, Collision with pedestrian, Other Specified person (MOTOR_VEHICLE_TRAFFIC, UNINTENTIONAL)"
W29.3XXD,CUT_PIERCE,1,UNINTENTIONAL,"Contact with powered garden and outdoor hand tools and machinery, subsequent encounter",E920.1,920.1,UNINTENTIONAL,CUT_PIERCE,"E920.1 Other, Powered hand tools (CUT_PIERCE, UNINTENTIONAL)"
W30.3XXD,MACHINERY,1,UNINTENTIONAL,"Contact with grain storage elevator, subsequent encounter",E919.0,919,UNINTENTIONAL,MACHINERY,"E919.0 Other, Agricultural machines (MACHINERY, UNINTENTIONAL)"
V88.3XXD,TRANSPORT_OTHER,1,UNINTENTIONAL,"Person injured in collision between car and bus, nontraffic, subsequent encounter",E822.8,822.8,UNINTENTIONAL,TRANSPORT_OTHER,"E822.8 Nontraffic, Collision with moving object, Other specified person (TRANSPORT_OTHER, UNINTENTIONAL)"
V00.218S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Other ice-skates accident, sequela",E929.3,929.3,UNINTENTIONAL,OTHER_SPECIFIED,"E929.3 Late Effect, Accidental fall (OTHER_SPECIFIED, UNINTENTIONAL)"
V00.221A,FALL,1,UNINTENTIONAL,"Fall from sled, initial encounter",E885.9,885.9,UNINTENTIONAL,FALL,"E885.9 Fall, other slipping, tripping, stumbling (FALL, UNINTENTIONAL)"
Y35.291S,OTHER_NEC,1,OTHER,"Legal intervention involving other gas, law enforcement official injured, sequela",E977,977,OTHER,OTHER_NEC,"E977 Legal Intervention, Late effects (OTHER_NEC, OTHER)"
Y35.293A,POISONING,1,OTHER,"Legal intervention involving other gas, suspect injured, initial encounter",E972,972,OTHER,POISONING,"E972 Legal Intervention, Gas (POISONING, OTHER)"
Y35.301S,OTHER_NEC,1,OTHER,"Legal intervention involving unspecified blunt objects, law enforcement official injured, sequela",E977,977,OTHER,OTHER_NEC,"E977 Legal Intervention, Late effects (OTHER_NEC, OTHER)"
Y35.303A,STRUCK_BY_AGAINST,1,OTHER,"Legal intervention involving unspecified blunt objects, suspect injured, initial encounter",E973,973,OTHER,STRUCK_BY_AGAINST,"E973 Legal Intervention, Blunt object (STRUCK_BY_AGAINST, OTHER)"
T63.831A,BITES_STINGS,1,UNINTENTIONAL,"Toxic effect of contact with other venomous amphibian, accidental (unintentional), initial encounter",E905.6,905.6,UNINTENTIONAL,BITES_STINGS,"E905.6 Environmental, Marine animals and plants (BITES_STINGS, UNINTENTIONAL)"
Y38.5X1D,OTHER_SPECIFIED,1,ASSAULT,"Terrorism involving nuclear weapons, public safety official injured, subsequent encounter",E979.5,979.5,ASSAULT,OTHER_SPECIFIED,"E979.5 Terrorism involving nuclear weapons (OTHER_SPECIFIED, ASSAULT)"
T48.905S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of unspecified agents primarily acting on the respiratory system, sequela",E945.8,945.8,OTHER,ADVERSE_EFFECTS_DRUGS,"E945.8 Adverse effects in therapeutic use, Other and unspecified respiratory drugs (ADVERSE_EFFECTS_DRUGS, OTHER)"
T65.221S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Toxic effect of tobacco cigarettes, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T65.223A,POISONING,1,ASSAULT,"Toxic effect of tobacco cigarettes, assault, initial encounter",E962.1,962.1,ASSAULT,POISONING,"E962.1 Assault, Other solid or liquid substances (POISONING, ASSAULT)"
T47.7X5S,ADVERSE_EFFECTS_DRUGS,1,OTHER,"Adverse effect of emetics, sequela",E943.6,943.6,OTHER,ADVERSE_EFFECTS_DRUGS,"E943.6 Adverse effects in therapeutic use, Emetics (ADVERSE_EFFECTS_DRUGS, OTHER)"
V66.9XXD,MOTOR_VEHICLE_UNSPECIFIED,1,UNINTENTIONAL,"Unspecified occupant of heavy transport vehicle injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",E813.9,813.9,UNINTENTIONAL,MOTOR_VEHICLE_UNSPECIFIED,"E813.9 Traffic, Collision with other vehicle, Unspecified person (MOTOR_VEHICLE_UNSPECIFIED, UNINTENTIONAL)"
X96.0XXS,OTHER_NEC,1,ASSAULT,"Assault by antipersonnel bomb, sequela",E969,969,ASSAULT,OTHER_NEC,"E969 Assault, Sequelae > 1 yr after assault (OTHER_NEC, ASSAULT)"
W45.1XXD,CUT_PIERCE,1,UNINTENTIONAL,"Paper entering through skin, subsequent encounter",E920.8,920.8,UNINTENTIONAL,CUT_PIERCE,"E920.8 Other, Other specified cutting/piercing instruments (CUT_PIERCE, UNINTENTIONAL)"
T65.6X1S,OTHER_SPECIFIED,1,UNINTENTIONAL,"Toxic effect of paints and dyes, not elsewhere classified, accidental (unintentional), sequela",E929.2,929.2,UNINTENTIONAL,OTHER_SPECIFIED,"E929.2 Late Effect, Accidental poisoning (OTHER_SPECIFIED, UNINTENTIONAL)"
T65.6X3A,POISONING,1,ASSAULT,"Toxic effect of paints and dyes, not elsewhere classified, assault, initial encounter",E962.1,962.1,ASSAULT,POISONING,"E962.1 Assault, Other solid or liquid substances (POISONING, ASSAULT)"
V51.1XXS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident, sequela",E929.0,929,UNINTENTIONAL,OTHER_SPECIFIED,"E929.0 Late Effect, Motor vehicle (OTHER_SPECIFIED, UNINTENTIONAL)"
V47.3XXD,TRANSPORT_OTHER,1,,"Unspecified car occupant injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",E823.9,823.9,UNINTENTIONAL,TRANSPORT_OTHER,"E823.9 Nontraffic, Collision with stationary object, Unspecified person (TRANSPORT_OTHER, UNINTENTIONAL)"
W61.22XS,OTHER_SPECIFIED,1,UNINTENTIONAL,"Struck by other psittacines, sequela",E929.5,929.5,UNINTENTIONAL,OTHER_SPECIFIED,"E929.5 Late Effect, Natural/environmental factors (OTHER_SPECIFIED, UNINTENTIONAL)"
